hour,day_of_week,is_weekend,temperature,energy_kwh
18,3,0,24.22563425479357,45.63719895634691
19,3,0,24.695584817080103,11.536995603162477
20,3,0,19.953909906967333,23.084049457993807
21,3,0,27.23069939015849,26.03119880686406
22,3,0,27.352579761698554,33.436302738693655
23,3,0,18.05907165214632,36.4543777595743
0,4,0,24.101817839505284,41.873870245596734
1,4,0,28.964116550490253,23.090645620209838
2,4,0,15.689993245994728,29.976639046314936
3,4,0,27.792066083863638,20.10990325827133
4,4,0,25.112948623610677,18.408528407952094
5,4,0,24.92240446164824,19.35957959500907
6,4,0,25.07449212364635,35.99500499215628
7,4,0,26.496059014192305,33.62234118284542
8,4,0,24.70640455229772,13.638075063417077
9,4,0,29.311564945509758,12.461418333753699
10,4,0,28.288938326433673,37.14540956087214
11,4,0,26.408811578098664,20.027305595883334
12,4,0,27.38540771890483,28.58110112028384
13,4,0,25.77827609675556,37.07881038031275
14,4,0,26.119753667119078,38.193162954804194
15,4,0,18.618417246136087,16.086460371561735
16,4,0,21.01582863137959,24.52521226970724
17,4,0,24.70151966434142,34.3678365838216
18,4,0,26.16653167978658,20.476895890004045
19,4,0,20.377237285853663,23.274738434492257
20,4,0,15.675006137227662,23.336650626669115
21,4,0,27.834282778193383,33.10086694268891
22,4,0,16.81415408171265,16.25036643821851
23,4,0,29.830865714417044,42.1189274595751
0,5,1,17.02987666174218,28.644447069614007
1,5,1,15.244063484954289,38.0599441433006
2,5,1,26.504082018948235,31.724956095771837
3,5,1,15.229556550160046,10.944339044392688
4,5,1,20.435198928929463,46.38929647250208
5,5,1,27.11275424401351,10.814448613329875
6,5,1,29.631544200416506,48.204159016843064
7,5,1,21.51532285148086,15.613823142238989
8,5,1,17.535307934654924,35.931026372500476
9,5,1,28.14863407726745,14.07050220041218
10,5,1,22.30866702233275,14.904342825818144
11,5,1,21.511038557232812,48.975848076034374
12,5,1,25.049923467366096,29.618362319172455
13,5,1,22.101471873172127,33.58699044802782
14,5,1,24.058364565635713,35.45729913563364
15,5,1,27.742071690091542,25.915252564591192
16,5,1,20.456926988016424,36.07831589512219
17,5,1,25.71180434957661,10.453714536613052
18,5,1,20.622796676618616,41.00703775502636
19,5,1,15.972440287951512,49.8224838927892
20,5,1,22.8018423591692,13.553457400974622
21,5,1,19.771992699699354,40.73364649493172
22,5,1,29.845292363397576,23.963467868358997
23,5,1,23.81090190247628,47.08032022481257
0,6,1,18.75200363554454,20.04714581883874
1,6,1,28.46772701348544,23.812466882183042
2,6,1,23.79984335835991,24.64184870728577
3,6,1,23.264549704596064,35.42704981294739
4,6,1,22.391428712457756,11.362838099298997
5,6,1,24.94702926082028,45.16596775255047
6,6,1,26.295899246746814,49.08913363898193
7,6,1,22.59592080067656,30.467079548640783
8,6,1,21.60996778516899,49.75088570526481
9,6,1,19.906709391822773,46.06637761193066
10,6,1,21.7276373511492,24.652393795653303
11,6,1,24.753131035963534,42.70758163282609
12,6,1,27.27405837896822,31.47914874925479
13,6,1,26.65630732849705,31.705704419189622
14,6,1,27.066836382378995,38.06078335251124
15,6,1,15.512717474438517,25.67560087685784
16,6,1,18.69980983701575,11.2358293073931
17,6,1,20.533793809258185,35.79361531094362
18,6,1,16.60420853587516,12.629823208519557
19,6,1,25.341486390324377,42.425193192432886
20,6,1,20.5946340164365,32.75098005930177
21,6,1,29.630750664734656,40.70088004524328
22,6,1,24.614433015867967,48.45817824415831
23,6,1,24.89751543172087,25.840048490761575
